id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,roi.times,roi.currency,roi.percentage
matic-network,matic,Polygon,https://assets.coingecko.com/coins/images/4713/large/matic-token-icon.png?1624446912,2.29,15801677672,14,22991314126.0,3537301562.0,2.58,2.29,-0.140937504765,-5.79059,-747181333.9997902,-4.515,6872890164.27,10000000000.0,10000000000.0,2.62,-12.1969,2021-05-18T19:38:18.813Z,0.00314376,73086.72767,2019-05-10T00:00:00.000Z,,2021-12-09T09:14:20.402Z,-1.3588398744709804,-5.790586713062595,870.8515809191263,usd,87085.15809191263
crypto-com-chain,cro,Crypto.com Coin,https://assets.coingecko.com/coins/images/7310/large/cypto.png?1547043960,0.611275,15481175429,15,,340273623.0,0.625071,0.591194,-0.013796585763,-2.2072,-312313036.3883438,-1.97748,25263013692.0,30263013692.0,,0.965407,-36.54406,2021-11-24T15:53:54.855Z,0.0121196,4954.69063,2019-02-08T00:00:00.000Z,,2021-12-09T09:14:17.005Z,-0.36393163023618513,-2.2072025633167502,,,
binance-usd,busd,Binance USD,https://assets.coingecko.com/coins/images/9576/large/BUSD.png?1568947766,0.999128,13632789761,16,,4820628849.0,1.01,0.990705,-0.002986270282,-0.298,103744028.0,0.76682,13657024670.54,13657024670.54,,1.15,-13.49453,2020-03-13T02:35:42.953Z,0.901127,10.80007,2021-05-19T13:04:37.445Z,,2021-12-09T09:14:35.699Z,0.4283700945188878,-0.2979968683072405,,,
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://assets.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1548822744,49485.0,12706739500,17,12706739500.0,369779767.0,50878.0,49068.0,-1055.34677220192,-2.08812,-263807755.04510307,-2.0339,256689.84405604,256689.84405604,256689.84405604,70643.0,-29.87836,2021-11-10T14:40:19.650Z,3139.17,1478.00511,2019-04-02T00:00:00.000Z,,2021-12-09T09:12:06.436Z,-0.5644260764268721,-2.088120917863211,,,
litecoin,ltc,Litecoin,https://assets.coingecko.com/coins/images/2/large/litecoin.png?1547033580,159.91,11068827839,18,13445889755.0,1363983466.0,168.34,157.54,-7.912967113342,-4.71513,-523084259.14185905,-4.51249,69149870.7334713,84000000.0,84000000.0,410.26,-60.95043,2021-05-10T03:13:07.904Z,1.15,13844.88123,2015-01-14T00:00:00.000Z,,2021-12-09T09:13:04.931Z,-0.588216755346418,-4.7151324509318515,,,
algorand,algo,Algorand,https://assets.coingecko.com/coins/images/4380/large/download.png?1547039725,1.65,10407925979,19,16491596715.0,254939947.0,1.71,1.61,-0.039790255415,-2.36144,-209341160.068367,-1.9717,6311048080.55602,6763072787.85938,10000000000.0,3.56,-53.68758,2019-06-20T14:51:19.480Z,0.105336,1465.71769,2020-03-13T02:20:48.438Z,,2021-12-09T09:14:21.545Z,0.09790598083400771,-2.361439474514636,-0.31449593501083417,usd,-31.449593501083417
chainlink,link,Chainlink,https://assets.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1547034700,21.7,10146673786,20,21726908370.0,1438086813.0,23.15,21.35,-0.724332793498,-3.22947,-292058239.91467285,-2.79783,467009553.9174637,1000000000.0,1000000000.0,52.7,-58.70745,2021-05-10T00:13:57.214Z,0.148183,14584.36932,2017-11-29T00:00:00.000Z,,2021-12-09T09:12:14.558Z,-0.5327291841714457,-3.2294726231097255,,,
tron,trx,TRON,https://assets.coingecko.com/coins/images/1094/large/tron-logo.png?1547035066,0.091404,9325194037,21,,1367555213.0,0.094646,0.09019,-0.002240701138,-2.39277,-172449738.48759842,-1.81571,101892211223.626,101900409184.273,,0.231673,-60.51205,2018-01-05T00:00:00.000Z,0.00180434,4970.15004,2017-11-12T00:00:00.000Z,,2021-12-09T09:14:37.424Z,0.061414440955374495,-2.3927733165821268,47.10727421049763,usd,4710.7274210497635
dai,dai,Dai,https://assets.coingecko.com/coins/images/9956/large/4943.png?1636636734,0.99836,8926023480,22,8926023480.0,634475115.0,1.01,0.984871,-0.004332676701,-0.4321,-27835991.64124298,-0.31088,8943841096.89804,8943841096.89804,8943841096.89804,1.22,-18.1672,2020-03-13T03:02:50.373Z,0.903243,10.43372,2019-11-25T00:04:18.137Z,,2021-12-09T09:13:54.533Z,0.018394172041298902,-0.43210430306939135,,,
bitcoin-cash,bch,Bitcoin Cash,https://assets.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1594689492,462.93,8769641878,23,9732489254.0,2320731468.0,486.96,460.96,-17.500765513265,-3.64274,-313937789.59420395,-3.4561,18922443.6466527,21000000.0,21000000.0,3785.82,-87.75088,2017-12-20T00:00:00.000Z,76.93,502.75654,2018-12-16T00:00:00.000Z,,2021-12-09T09:14:20.020Z,-0.19564555754068177,-3.6427424138096907,,,
